contrato;contrato_siad;status;descricao_do_motivo;data;responsavel;portal_de_compras
DC-004/2024;9429715;Andamento;;2025-04-23 00:00:00;-;2301520 000020/2023
DC-017/2023;9406230;Andamento;;2025-04-23 00:00:00;-;2301520 000015/2023
DC-9453556/2025;9453556;Andamento;;2025-04-08 00:00:00;-;2301520 000027/2023
DPEI-9478941/2025;9478941;Andamento;;2025-09-30 00:00:00;-;2301601 000005/2025
DC-9447760/2025;9447760;Andamento;;2025-09-25 00:00:00;-;2301520 000019/2024
DPEI-9480550/2025;9480550;Andamento;;2025-09-01 00:00:00;-;2301601 000004/2025
DC-9478759/2025;9478759;Andamento;;2025-09-24 00:00:00;-;2301520 000029/2025
DC-9481581/2025;9481581;Andamento;;2025-11-04 00:00:00;-;2301520 000031/2025
DM-002/2024-B;9410208;Andamento;;2026-02-19 00:00:00;-;2301762 000027/2023
DC-9492718/2025;9492718;Andamento;;2026-02-02 00:00:00;-;2301520 000022/2025
DM-001/2024-B;9410177;Andamento;;2026-02-20 00:00:00;-;2301762 000001/2024
9447045/2024-A;9447045;Andamento;;2026-01-01 00:00:00;-;1301017 000012/2024
DC-9492083/2025;9492083;Andamento;;2026-02-23 00:00:00;-;2301520 000038/2025
9447043/2024-A;9447043;Andamento;;2026-01-01 00:00:00;-;1301017 000012/2024
DM-9485591/2025;9485591;Andamento;;2026-03-01 00:00:00;-;2301762 000017/2025
DM-9447057/2024;9447057;Andamento;;2026-03-01 00:00:00;-;2301762 000016/2024
DM-9453530;9453530;Andamento;;2026-03-01 00:00:00;-;2301762 000021/2024
DM-9485592/2025;9485592;Andamento;;2026-03-01 00:00:00;-;2301762 000016/2025
DM-9447456/2024;9447456;Andamento;;2026-03-01 00:00:00;-;2301762 000017/2024
AMA-9441725/2024;9441725;Andamento;;2025-09-05 00:00:00;-;2301617 000003/2024
PRC-24.014/2018;9292318;Andamento;;2025-10-15 00:00:00;-;2301601 000005/2017
DC-9445668/2024;9445668;Andamento;;2025-10-01 00:00:00;-;2301520 000008/2024
DC-020/2023;9411269;Andamento;;2025-09-01 00:00:00;-;2301520 000019/2023
DM-040/2022;9372557;Andamento;;2024-02-28 00:00:00;-;2301762 000043/2022
DC-016/2023;9402062;Andamento;;2025-08-25 00:00:00;-;1301606 000001/2023
DP-021/2023;9393558;Andamento;;2025-12-10 00:00:00;-;2301601 000010/2022
DC-9491012/2025;9491012;Andamento;;2026-02-02 00:00:00;-;2301520 000024/2025
DC-9492715/2025;9492715;Andamento;;2026-02-03 00:00:00;-;2301520 000035/2025
DC-9493122/2026;9493122;Andamento;;2026-02-03 00:00:00;-;2301520 000034/2025
DM-9493180/2026;9493180;Andamento;;2026-01-28 00:00:00;-;2301762 000001/2025
PRC-22.024/2018-E;9195932;Andamento;;2023-10-29 00:00:00;-;2301762 000002/2018
DPEI-031/2023;9396828;Andamento;;2023-11-01 00:00:00;-;2301901 000001/2023
DP-004/2022;9371336;Andamento;;2024-01-22 00:00:00;-;2301601 000006/2022
DC-018/2023;9408433;Andamento;;2024-02-05 00:00:00;-;1301606 000002/2023
DM-22.003/2020-D;9245004;Andamento;;2024-03-18 00:00:00;-;2301762 000044/2019
DM-007/2024;9422060;Andamento;;2024-04-09 00:00:00;-;2301762 000036/2023
DM-009/2024;9422078;Andamento;;2024-04-10 00:00:00;-;2301762 000036/2023
DOV-001/2022-A;9344722;Andamento;;2024-04-09 00:00:00;-;2301901 000009/2021
DM-012/2024;9422079;Andamento;;2024-04-11 00:00:00;-;2301762 000036/2023
DM-008/2024;9422064;Andamento;;2024-04-09 00:00:00;-;2301762 000036/2023
DC-005/2024;9422256;Andamento;;2025-02-24 00:00:00;-;2301520 000025/2023
DC-9439921/2024;9439921;Andamento;;2025-03-18 00:00:00;-;1301606 000001/2024
DC-9447761/2025;9447761;Andamento;;2025-03-24 00:00:00;-;2301520 000019/2024
DM-9454417/2025;9454417;Andamento;;2025-04-01 00:00:00;-;2301762 000018/2024
DC-9447760/2025;9447760;Andamento;;2025-03-24 00:00:00;-;2301520 000019/2024
DM-004/2023;9390187;Andamento;;2025-03-25 00:00:00;-;2301762 000001/2023
DPEI-007/2024;9417534;Andamento;;2024-04-01 00:00:00;-;2301601 000006/2023
DM-017/2024;9424449;Andamento;;2024-05-02 00:00:00;-;2301762 000051/2023
DM-019/2024;9424377;Andamento;;2024-05-02 00:00:00;-;2301762 000045/2023
DC-019/2023;9407817;Andamento;;2024-04-26 00:00:00;-;2301520 000021/2023
DM-002/2024;9410208;Andamento;;2024-02-19 00:00:00;-;2301762 000027/2023
DM-023/2023;9408490;Andamento;;2024-10-01 00:00:00;-;2301762 000007/2023
DC-019/2023;9407817;Andamento;;2024-11-21 00:00:00;-;2301520 000021/2023
DM-003/2023;9390176;Andamento;;2025-01-28 00:00:00;-;2301762 000001/2023
DM-020/2023;9402596;Andamento;;2025-02-06 00:00:00;-;2301762 000022/2023
DOV-001/2022-B;9344722;Andamento;;2025-12-09 00:00:00;-;2301901 000009/2021
DOV-003/2022-B;9344739;Andamento;;2025-12-09 00:00:00;-;2301901 000009/2021
DM-030/2023-B;9408491;Andamento;;2025-12-29 00:00:00;-;2301762 000027/2023
DM-026/2023-B;9407068;Andamento;;2025-12-29 00:00:00;-;2301762 000027/2023
DM-029/2023-B;9408476;Andamento;;2025-12-29 00:00:00;-;2301762 000027/2023
DC-9492065/2025;9492065;Andamento;;2026-01-05 00:00:00;-;2301520 000023/2025
DOV-002/2022-B;9344727;Andamento;;2025-12-09 00:00:00;-;2301901 000009/2021
DM-025/2023-B;9408445;Andamento;;2025-12-29 00:00:00;-;2301762 000027/2023
DM-002/2024-A;9410208;Andamento;;2025-02-19 00:00:00;-;2301762 000027/2023
DM-028/2023-A;9408646;Andamento;;2025-02-02 00:00:00;-;2301762 000027/2023
DOV-004/2022-B;9344750;Andamento;;2025-12-09 00:00:00;-;2301901 000009/2021
DC-006/2022;9342951;Andamento;;2024-07-20 00:00:00;-;2301520 000034/2021
DC-011/2024;9442960;Andamento;;2024-12-09 00:00:00;-;2301520 000007/2024
DC-9441355/2024 ;9441355;Andamento;;2024-12-10 00:00:00;-;2301520 000014/2024
DC-005/2024;9422256;Andamento;;2024-11-26 00:00:00;-;2301520 000025/2023
DC-022/2022;9371865;Andamento;;2025-03-11 00:00:00;-;2301520 000032/2022
DC-9448965/2025;9448965;Andamento;;2025-11-25 00:00:00;-;2301520 000025/2024
DM-003/2023;9390176;Andamento;;2025-12-01 00:00:00;-;2301762 000001/2023
DM-012/2023;9393554;Andamento;;2023-09-11 00:00:00;-;2301762 000005/2023
DP-020/2023;9393315;Andamento;;2023-11-06 00:00:00;-;2301601 000009/2022
DM-9471879/2025;9471879;Andamento;;2025-08-01 00:00:00;-;2301762 000001/2025
DC-007/2023;9389525;Andamento;;2023-08-01 00:00:00;-;2301520 000001/2023
DC-007/2021;9388646;Andamento;;2023-08-17 00:00:00;-;2301520 000005/2021
DC-9459021/2025;9459021;Andamento;;2025-05-16 00:00:00;-;2301520 000004/2025
PRC-29.008/2017-D;9149606;Andamento;;2025-06-13 00:00:00;-;2301901 000001/2017
DC-9447761/2025;9447761;Andamento;;2025-07-25 00:00:00;-;2301520 000019/2024
DM-9471834/2025;9471834;Andamento;;2025-08-01 00:00:00;-;2301762 000001/2025
DC-004/2024;9429715;Andamento;;2025-10-10 00:00:00;-;2301520 000020/2023
DM-018/2023;9400070;Andamento;;2023-11-20 00:00:00;-;2301762 000026/2023
