contrato;obra;latitude;longitude
PRC-22.013/2018-C;Obra 1;-21,5799309;-45,4427049
DM-009/2021;Obra 1;;
DP-002/2021;Obra 1;;
DM-010/2021;Obra 1;-19,967554;-46,014844
PRC-22.004/2018-E;Obra 1;-18,2398134;-43,6049294
DM-005/2023;Obra 1;;
DM-003/2023;Obra 1;;
DM-004/2023;Obra 1;;
DP-026/2023;Obra 4;-19,1735404;-41,47232150000001
DP-026/2023;Obra 4;-19,4166094;-41,72778049999999
DP-026/2023;Obra 2;-18,7609865;-41,30677730000001
DP-026/2023;Obra 2;-18,6576406;-41,40222989999999
DP-026/2023;Obra 3;-19,2839466;-42,0101378
DP-026/2023;Obra 3;-19,1714938;-41,8639371
DP-026/2023;Obra 5;-18,590851;-41,4884226
DP-026/2023;Obra 5;-18,4802628;-41,3885523
DP-026/2023;Obra 1;-18,50526244122152;-42,085403949586784
DPEI - 028/2023;Obra 1;;
PRC-24.001/2019-ANO 5;Obra 1;;
PRC-22.027/2017-B;Obra 1;-18,784181;-42,945301
DM-22.010/2019-A;Obra 1;-19,928208;-43,983328
DC-006/2021;Obra 1;;
DC-018/2021;Obra 3;-19,41065215773487;-50,67544738968311
DC-018/2021;Obra 1;;
DC-018/2021;Obra 2;;
PRC-22.024/2018-C;Obra 1;-21,1079839;-42,949159
DM-029/2021;Obra 1;-19,962872;-43,941533
DM-029/2021;Obra 1;-19,969488409973103;-43,94462298413086
PRC-22.032/2017-D;Obra 1;-19,638615;-43,228648
DM-004/2022;Obra 1;;
DP-010/2023;Obra 1;-21,11997449999999;-42,9426496
DC-012/2023;Obra 1;-17,3688028;-40,9865389
DP-014/2023;Obra 1;-16,7291552;-43,8670745
DC-016/2023;Obra 1;-18,898240795754308;-49,27447158705751
DC-015/2023;Obra 1;-18,9127749;-48,2755227
DC-015/2023;Obra 1;-18,97116695552686;-48,29439137136391
DM-22.010/2019-D;Obra 1;-19,928208;-43,983328
DC-001/2024;Obra 1;;
DM-003/2024;Obra 1;;
DC-020/2023;Obra 1;-16,69825430342247;-40,954373835449225
DC-22.016/2020;Obra 2;;
DC-22.016/2020;Obra 1;;
