contrato;contrato_siad;obra;municipio;portal_de_compras
DC-006/2022;9342951;Obra 3;Paracatu;2301520 000034/2021
DC-006/2022;9342951;Obra 3;Unaí;2301520 000034/2021
DC-006/2023;9385564;Obra 1;Limeira do Oeste;1301608 000002/2022
DC-006/2023;9385564;Obra 2;Limeira do Oeste;1301608 000002/2022
DC-006/2024;9422285;Obra 1;Belo Horizonte;2301520 000016/2023
DC-007/2021;9388646;Obra 1;Marliéria;2301520 000005/2021
DC-007/2023;9389525;Obra 1;Morada Nova de Minas;2301520 000001/2023
DC-007/2023;9389525;Obra 2;Morada Nova de Minas;2301520 000001/2023
DC-007/2023;9389525;Obra 2;Três Marias;2301520 000001/2023
DC-007/2024;9424592;Obra 1;Belo Horizonte;2301520 000024/2023
DC-008/2021;Extinto;Obra 1;Minas Novas;2301520 000013/2021
DC-008/2022;9344117;Obra 1;Januária;2301520 000036/2021
DC-008/2023;9385831;Obra 1;Serro;2301520 000046/2022
DC-008/2023;9385831;Obra 2;Serro;2301520 000046/2022
DC-008/2023;9385831;Obra 3;Serro;2301520 000046/2022
DC-008/2024;9428115;Obra 1;Morada Nova de Minas;2301520 000012/2023
DC-009/2021;9288096;Obra 1;Cataguases;2301520 000014/2021
DC-009/2021;9288096;Obra 1;Leopoldina;2301520 000014/2021
DC-009/2021;9288096;Obra 1;Piraúba;2301520 000014/2021
DC-009/2022;9337329;Obra 1;Uberlândia;2301520 000004/2022
DC-009/2023;9388658;Obra 1;Araguari;2301520 000020/2022
DC-009473175/2025;9473175;Obra 1;Manga;2301520 000016/2025
DC-009473175/2025;9473175;Obra 1;Matias Cardoso;2301520 000016/2025
DC-009473175/2025;9473175;Obra 2;Manga;2301520 000016/2025
DC-009473175/2025;9473175;Obra 2;Matias Cardoso;2301520 000016/2025
DC-010/2021;Rescindido;Obra 1;Caeté;2301520 000021/2021
DC-010/2022;9337330;Obra 1;Uberlândia;2301520 000003/2022
DC-010/2023;9389500;Obra 1;Conceição do Mato Dentro;2301520 000003/2023
DC-010/2023;9389500;Obra 1;Congonhas do Norte;2301520 000003/2023
DC-010/2024;9426807;Obra 1;Pedra Bonita;2301520 000029/2023
DC-011/2021;9291848;Obra 1;Pintópolis;2301520 000007/2021
DC-011/2021;9291848;Obra 1;Urucuia;2301520 000007/2021
DC-011/2021;9291848;Obra 2;Urucuia;2301520 000007/2021
DC-011/2021;9291848;Obra 3;Urucuia;2301520 000007/2021
DC-011/2021;9291848;Obra 4;Urucuia;2301520 000007/2021
DC-011/2022;9336934;Obra 1;Três Pontas;1301608 000004/2021
DC-011/2022;9336934;Obra 1;Varginha;1301608 000004/2021
DC-011/2024;9442960;Obra 1;Patrocínio;2301520 000007/2024
DC-011R/2024;9498942;Obra 1;Patrocínio;2301520 000010/2026
DC-012/2021;9292906;Obra 1;Fronteira dos Vales;2301520 000019/2021
DC-012/2021;9292906;Obra 1;Joaíma;2301520 000019/2021
DC-012/2022;9344198;Obra 1;Montes Claros;2301520 000001/2022
DC-012/2022;9344198;Obra 1;São João da Ponte;2301520 000001/2022
DC-012/2023;9473175;Obra 1;Pavão;2301520 000007/2023
DC-012/2023;9473175;Obra 1;Águas Formosas;2301520 000007/2023
DC-013/2021;9292908;Obra 1;Montes Claros;2301520 000016/2021
DC-013/2022;9385834;Obra 1;Serro;2301520 000009/2022
DC-013/2023;9402069;Obra 1;Carlos Chagas;2301520 000006/2023
DC-014/2021;9301504;Obra 1;João Pinheiro;2301520 000025/2021
DC-014/2022;9345034;Obra 1;Montes Claros;2301520 000008/2022
DC-014/2022;9345034;Obra 1;São João da Ponte;2301520 000008/2022
DC-015/2021;9301435;Obra 1;João Pinheiro;2301520 000022/2021
DC-015/2022;9337919;Obra 1;Serro;2301520 000007/2022
DC-015/2023;9405799;Obra 1;Uberlândia;2301520 000013/2023
DC-016/2021;9301376;Obra 1;Mercês;2301520 000015/2021
DC-016/2021;9301376;Obra 1;Piraúba;2301520 000015/2021
DC-016/2022;9344218;Obra 1;Araguari;2301520 000011/2022
